,precision,recall,f1-score,support
Xaalad deg deg ah,1.0,1.0,1.0,1029.0
Xaalad dhax dhaxaad eh (Bukaan socod),0.9378330373001776,0.812933025404157,0.8709278350515464,1299.0
Xaalad fudud (Daryeel guri),0.8303072625698324,0.9444003177124702,0.8836863619472315,1259.0
accuracy,0.9127404516308893,0.9127404516308893,0.9127404516308893,0.9127404516308893
macro avg,0.9227134332900033,0.9191111143722092,0.918204732332926,3587.0
weighted avg,0.9179263894698494,0.9127404516308893,0.912432781551024,3587.0
